date,val
24-03-2020,5.221
24-03-2020,110.754
24-03-2020,14.75
24-03-2020,147.778
24-03-2020,4.38
24-03-2020,13.176
24-03-2020,66.191
24-03-2020,8.204
24-03-2020,17.006
24-03-2020,14.464
24-03-2020,27.81
24-03-2020,67.667
24-03-2020,20.182
24-03-2020,15.185
24-03-2020,37
24-03-2020,11.408
24-03-2020,25
24-03-2020,33.058
24-03-2020,14.594
24-03-2020,24.7
24-03-2020,24.548
24-03-2020,3.618
24-03-2020,17.234
24-03-2020,4.126
24-03-2020,36.543
24-03-2020,30.533
24-03-2020,155.235
24-03-2020,28
24-03-2020,44.771
24-03-2020,14
24-03-2020,6.586
24-03-2020,7
24-03-2020,29.091
24-03-2020,7.953
24-03-2020,6.495
24-03-2020,112
24-03-2020,6.687
24-03-2020,77.418
24-03-2020,23.976
24-03-2020,7.12
24-03-2020,8.851
24-03-2020,21.389
24-03-2020,26.226
24-03-2020,12.717
24-03-2020,48.097
24-03-2020,21.625
24-03-2020,202.817
24-03-2020,86.855
24-03-2020,6.596
24-03-2020,3.267
24-03-2020,23.421
24-03-2020,39.963
24-03-2020,37.121
24-03-2020,87.974
24-03-2020,15.029
24-03-2020,11.864
24-03-2020,8.668
24-03-2020,61.359
24-03-2020,24.855
24-03-2020,10.294
24-03-2020,13.391
24-03-2020,524.02
24-03-2020,12.244
24-03-2020,8.025
24-03-2020,166.028
25-03-2020,5.173
25-03-2020,82.856
25-03-2020,15.806
25-03-2020,155.556
25-03-2020,4.043
25-03-2020,15.4
25-03-2020,67.799
25-03-2020,7.783
25-03-2020,18.251
25-03-2020,13.728
25-03-2020,4.512
25-03-2020,32.035
25-03-2020,59.5
25-03-2020,19.994
25-03-2020,14.515
25-03-2020,24.277
25-03-2020,12.624
25-03-2020,26.133
25-03-2020,28.477
25-03-2020,11.818
25-03-2020,28.28
25-03-2020,28.28
25-03-2020,3.8
25-03-2020,10.49
25-03-2020,16.1
25-03-2020,4.218
25-03-2020,32.115
25-03-2020,22.442
25-03-2020,198.13
25-03-2020,19.333
25-03-2020,50.287
25-03-2020,13.772
25-03-2020,5.467
25-03-2020,8.376
25-03-2020,30.855
25-03-2020,7.872
25-03-2020,5.389
25-03-2020,87.5
25-03-2020,5.914
25-03-2020,66.935
25-03-2020,20.138
25-03-2020,5.328
25-03-2020,7.824
25-03-2020,15.885
25-03-2020,25.234
25-03-2020,12.976
25-03-2020,40.333
25-03-2020,17.969
25-03-2020,168.367
25-03-2020,60.968
25-03-2020,8.273
25-03-2020,4.073
25-03-2020,24.402
25-03-2020,37.595
25-03-2020,31.633
25-03-2020,87.055
25-03-2020,17.267
25-03-2020,10.982
25-03-2020,7.734
25-03-2020,54.64
25-03-2020,21.647
25-03-2020,11.529
25-03-2020,12.756
25-03-2020,407.504
25-03-2020,11.74
25-03-2020,8.08
25-03-2020,226.029
26-03-2020,5.251
26-03-2020,75.368
26-03-2020,19.31
26-03-2020,183.75
26-03-2020,3.759
26-03-2020,13.222
26-03-2020,35.53
26-03-2020,8.745
26-03-2020,17.574
26-03-2020,12.391
26-03-2020,4.151
26-03-2020,37.062
26-03-2020,51.333
26-03-2020,20.589
26-03-2020,12.575
26-03-2020,24.672
26-03-2020,13.392
26-03-2020,22.75
